obj0,obj1,obj2,obj3,cpu
-6554,-6154,-5163,-6984,3.98759
-5929,-5933,-5414,-6547,7.07353
-5772,-5456,-5346,-6782,7.12022
-6085,-5368,-5289,-7182,7.34174
-5864,-5538,-5544,-6583,7.615
-6024,-5819,-4623,-7020,11.5639
-5867,-5342,-4555,-7255,11.6349
-5398,-4556,-4681,-7453,11.9663
-5455,-5241,-5631,-6810,12.3739
-5765,-6062,-5175,-6291,12.6476
-6660,-6720,-4822,-6360,17.2204
-6503,-6243,-4754,-6595,17.2943
-6180,-5254,-4498,-7655,17.8784
-5555,-5033,-4749,-7218,18.0087
-5612,-5718,-5699,-6575,18.2502
-5490,-4638,-4879,-7254,18.3764
-5513,-6242,-5330,-6283,18.4796
-5959,-5424,-4753,-7056,18.7752
-5757,-5825,-5897,-5707,21.0006
-6457,-5859,-5285,-5534,21.2946
-5951,-5187,-5475,-6472,21.8097
-6358,-6383,-4916,-5242,22.0945
-5830,-6457,-5045,-6255,24.0028
-6129,-5343,-4089,-7266,24.3862
-5970,-6104,-5203,-5959,24.775
-5081,-4341,-4966,-7481,24.8666
-5871,-6628,-4834,-5667,24.9178
-5467,-5954,-4452,-7102,25.0531
-5550,-5127,-4840,-7283,25.0731
-6595,-6325,-4952,-6396,25.1087
-6221,-5425,-4287,-7067,25.2677
-6885,-6130,-4541,-5964,25.8778
-5706,-5914,-5488,-5318,26.7562
-6039,-5797,-5440,-5782,27.048
-6145,-6363,-5099,-5158,27.1083
-5940,-6321,-5071,-5490,27.7647
-6046,-6887,-4730,-4866,27.7947
-6744,-6262,-4147,-5654,28.9462
-7050,-5624,-4504,-5817,30.4096
-6571,-4906,-4217,-7003,30.4594
-6465,-5692,-5331,-5027,30.9663
-5416,-5947,-5452,-4833,31.0457
-6148,-5477,-5616,-5055,31.0616
-7042,-5387,-5226,-5233,31.313
-6361,-5474,-5315,-6161,31.4312
-7137,-5273,-4435,-5706,32.0652
-6830,-6260,-5189,-5963,32.2799
-6973,-5630,-4385,-5549,32.7047
-5711,-5999,-4292,-7047,32.9769
-5720,-5764,-4224,-7026,32.9782
-5140,-5841,-5426,-5854,33.1607
-6383,-4711,-5371,-6046,33.5251
-7114,-5498,-4779,-5859,33.6711
-7487,-5093,-3724,-4981,33.6727
-6676,-4724,-3839,-6488,33.7144
-4998,-5885,-5607,-5081,34.089
-6268,-5165,-5678,-5677,34.1591
