obj0,obj1,obj2,obj3,cpu
-8208,-6648,-6797,-7458,0.562229
-8279,-6606,-6535,-7528,0.919129
-7477,-7165,-6140,-7122,0.920812
-7666,-5977,-6798,-7839,0.934496
-8930,-6503,-6873,-7333,0.966066
-8144,-6357,-7300,-7530,1.04407
-8593,-6481,-6485,-7635,1.19371
-9113,-6208,-7280,-7571,1.48737
-8311,-6767,-6885,-7165,1.49275
-8382,-6725,-6623,-7235,1.49783
-8571,-5537,-7281,-7952,1.50814
-7655,-6858,-6269,-7208,1.52139
-9001,-6461,-6611,-7403,1.55289
-9049,-5917,-7783,-7643,1.66271
-7413,-6874,-6643,-7194,1.67007
-8322,-6050,-7429,-7616,1.67604
-8133,-7238,-6771,-6899,1.77607
-8705,-6228,-7154,-7803,1.91086
-7976,-6236,-6445,-7637,1.91639
-7254,-6381,-6369,-7762,1.92673
-8163,-5557,-7155,-8184,1.96434
-8641,-5937,-7657,-7875,2.01735
-8386,-6341,-6926,-7544,2.36032
-9369,-5695,-7016,-7073,2.39283
-8199,-7020,-6216,-6997,2.41728
-8096,-6901,-6128,-7290,2.43827
-8247,-6476,-7388,-7237,2.48048
-8866,-6212,-7376,-7405,2.51143
-8864,-6721,-7428,-7235,2.53652
-8752,-6974,-6759,-7067,2.54143
-8088,-5983,-7114,-7805,2.64053
-7985,-5864,-7026,-8098,2.65589
-9144,-5420,-7297,-7543,2.73664
-9080,-5129,-7800,-7615,2.75054
-8159,-5941,-6852,-7875,2.76837
-7591,-6403,-6757,-7460,2.80818
-8496,-5963,-7240,-7573,2.81555
-7662,-6361,-6495,-7530,2.82313
-9115,-5699,-7228,-7741,2.84905
-8318,-6434,-7126,-7307,2.92659
-9305,-5404,-7519,-7145,2.96016
-9120,-6208,-7164,-6737,2.97734
-9303,-5913,-7571,-6975,3.01518
-9191,-6166,-6902,-6807,3.02256
-8707,-5719,-7102,-7973,3.05913
-7974,-6745,-6497,-7467,3.07385
-8895,-5933,-7445,-7207,3.11084
-9146,-4911,-7245,-7713,3.12848
-8890,-5424,-7509,-8211,3.16245
-7519,-6769,-6879,-6602,3.1986
-9043,-6065,-7350,-6883,3.21054
-8646,-6853,-6074,-7220,3.21975
-8177,-6333,-7458,-6549,3.23955
-8614,-6034,-7653,-6119,3.27045
-7853,-6816,-7014,-5639,3.38075
-8302,-5552,-7817,-6285,3.46368
-8117,-6356,-7462,-5877,3.47365
-8300,-6061,-7869,-6115,3.48984
-8333,-4764,-7834,-6257,3.50585
-8331,-5273,-7886,-6087,3.5133
-7683,-5816,-7829,-6117,3.5923
-7498,-6620,-7474,-5709,3.5977
-7501,-6729,-6888,-6035,3.65466
-7205,-4981,-8021,-6068,3.65798
-7830,-6786,-6887,-5897,3.65885
