obj0,obj1,obj2,obj3,cpu
-10729,-13409,-10386,-10157,0
-12240,-12020,-11087,-9803,0
-11113,-12485,-10405,-11060,0
-11359,-12433,-11386,-9445,0
-11179,-12368,-10671,-11173,0
-11400,-12184,-10644,-11233,0
-11919,-12275,-10084,-11653,0
-11802,-12269,-10228,-11473,0
-11886,-12015,-10731,-11040,0
-10677,-12825,-11061,-11164,0
-10730,-12531,-10600,-11265,0
-10898,-12641,-11034,-11224,0
-10812,-12711,-10346,-11586,0
-11678,-12669,-9933,-11180,0
-12360,-12189,-10008,-10698,0
-12413,-11895,-9547,-10799,0
-12113,-12978,-10666,-10957,0
-12197,-12724,-11169,-10524,0
-12205,-12513,-10545,-9863,0
-11833,-12136,-11272,-9793,0
-12243,-12183,-10152,-10518,0
-11995,-12115,-9632,-11145,0
-12327,-11929,-10655,-10085,0
-11067,-12161,-11046,-10763,0
-11562,-12322,-10476,-10968,0
-11554,-12360,-11180,-10483,0
-11775,-12176,-11153,-10543,0
-11385,-13110,-10466,-10004,0
-11769,-12853,-11201,-9967,0
-11299,-13180,-9778,-10366,0
-11014,-12491,-9711,-11738,0
-12074,-11417,-8972,-11019,0
-12788,-11887,-10056,-10109,0
-10996,-12074,-10153,-11543,0
-12671,-11881,-10200,-9929,0
-12509,-11246,-9588,-10496,0
-11502,-12506,-9983,-11616,0
-12261,-12007,-11240,-10350,0
-12755,-11627,-10703,-9496,0
-11221,-12337,-11582,-10013,0
-12646,-11178,-9747,-10464,0
-11586,-12252,-10486,-11183,0
-11490,-13077,-11109,-10657,0
-11711,-12893,-11082,-10717,0
-10852,-11975,-11222,-10433,0
-11625,-12963,-10394,-11079,0
-12724,-12604,-9985,-10283,0
-11100,-12421,-10399,-11376,0
-11014,-11954,-9582,-11785,0
-12607,-12598,-10129,-10103,0
-11787,-13195,-10050,-10244,0
-11845,-13155,-10169,-9494,0
-11695,-12352,-9387,-11288,0
-12113,-11595,-9173,-10989,0
-12562,-11432,-9244,-10897,0
-12572,-11887,-9506,-10607,0
-12990,-11130,-9292,-10308,0
-12437,-12001,-10221,-10185,0
-12937,-11424,-9753,-10207,0
-12658,-11817,-10194,-10245,0
-11100,-11884,-10270,-11423,0
-12691,-12344,-10632,-9670,0
-11077,-12413,-11241,-9800,0
-11902,-12198,-11258,-9563,0
-12904,-11164,-10400,-9594,0
-12404,-11741,-10868,-9572,0
-11586,-11715,-10357,-11230,0
-12463,-11250,-10476,-10549,0
-12267,-12113,-10162,-10733,0
-11298,-12229,-11214,-9860,0
-11131,-11444,-11117,-10589,0
-12866,-11494,-10793,-8939,0
-11442,-12153,-11555,-10073,0
-12625,-11557,-10841,-9632,0
-12742,-11563,-10697,-9812,0
-11164,-13294,-10493,-9944,0
-10788,-12692,-11151,-10607,0
-10735,-12506,-11495,-10206,0
-10702,-12762,-10463,-10969,0
-11262,-12559,-10231,-11111,0
-12385,-12126,-9410,-10503,0
-10879,-12605,-10426,-11316,0
-10252,-13048,-9751,-11129,0
-12471,-12056,-10098,-10141,0
-10473,-12864,-9724,-11189,0
-12445,-11963,-9517,-10670,0
-12820,-11955,-10026,-9980,0
-11123,-13017,-9828,-10802,0
-12379,-12041,-10102,-10935,0
-10740,-13063,-10023,-11007,0
-10983,-12415,-10543,-11196,0
-11929,-12901,-10672,-9061,0
-12645,-11678,-10820,-8879,0
-12391,-12044,-10258,-9860,0
-12840,-11881,-10329,-9768,0
-12787,-11695,-10673,-9367,0
-11469,-12246,-10630,-11003,0
-12346,-11781,-10749,-10322,0
-12957,-11887,-10185,-9948,0
-12904,-11701,-10529,-9547,0
-12521,-11747,-10724,-9752,0
-12765,-12159,-10126,-9238,0
-13144,-11648,-10281,-10052,0
-12463,-11787,-10605,-10502,0
-12385,-11610,-11089,-9127,0
-11500,-12113,-11674,-9323,0
-10680,-12710,-11595,-9464,0
-11665,-12227,-11270,-9926,0
-10923,-12578,-10436,-11029,0
-12192,-12280,-10006,-10831,0
-11944,-12212,-9486,-11458,0
-12620,-11978,-10054,-10242,0
-11809,-12326,-10201,-11036,0
-10500,-13116,-10271,-10502,0
-12030,-12142,-10174,-11096,0
-10383,-13110,-10415,-10322,0
-10614,-13178,-10583,-9419,0
-12926,-11847,-9221,-10482,0
-12354,-12050,-10242,-9961,0
-11075,-12638,-11188,-10358,0
-11274,-12523,-11238,-10414,0
-12558,-11464,-11119,-8607,0
-12151,-12058,-11357,-9733,0
-13268,-11579,-10377,-9179,0
-12457,-11927,-10524,-9973,0
-12266,-11957,-10714,-8816,0
-12399,-11967,-10405,-10723,0
-13385,-11585,-10233,-9359,0
-11184,-11630,-10773,-10990,0
-12372,-11874,-11330,-9793,0
-11230,-12121,-11528,-10428,0
-12678,-11743,-10497,-10033,0
-12246,-12068,-10686,-8818,0
-10322,-11842,-11627,-9349,0
-10523,-12474,-11468,-10561,0
-11400,-12009,-11587,-9880,0
-12044,-11531,-10050,-11012,0
-10731,-11856,-10470,-11497,0
-11544,-12108,-10518,-10990,0
-10952,-11672,-10443,-11557,0
-11765,-11924,-10491,-11050,0
-10749,-11736,-9899,-11739,0
-12503,-11972,-10198,-10062,0
-10614,-11850,-10614,-11317,0
-11802,-12094,-11171,-10120,0
-10925,-12559,-11052,-10801,0
-12475,-11218,-9543,-10625,0
-12661,-11629,-9538,-10436,0
-12672,-11206,-10070,-10161,0
-12873,-12141,-9682,-10381,0
-10835,-11666,-10587,-11377,0
-12587,-11718,-10701,-9629,0
-12375,-11686,-10674,-9984,0
