obj0,obj1,obj2,obj3,cpu
-11239,-9372,-12710,-12098,0.140031
-11166,-10119,-12512,-11267,1.37496
-9261,-10147,-11963,-12559,7.59923
-9936,-11078,-12998,-11886,7.60505
-10948,-10804,-11666,-11708,7.7412
-9786,-9749,-12081,-13032,9.69291
-10174,-10808,-12696,-12095,11.926
-9921,-10999,-12728,-12075,11.9314
-10603,-11224,-11863,-11700,12.0964
-10035,-10510,-11561,-12396,12.1285
-9907,-10594,-12636,-12298,12.4636
-10681,-10590,-11606,-11911,12.5349
-10699,-10043,-12186,-12344,15.0914
-10166,-10313,-12114,-12278,17.8729
-10941,-11220,-11978,-11714,18.0683
-9690,-10930,-11758,-12388,18.1031
-10820,-10888,-12741,-11610,18.5856
-10567,-11079,-12773,-11590,18.5902
-9554,-10519,-12251,-12473,18.6142
-10518,-10374,-12040,-12260,18.6384
-10336,-11010,-11803,-11903,18.7041
-10825,-10937,-12537,-11492,19.8511
-10538,-10502,-12106,-11953,19.8886
-9999,-10095,-12356,-12322,24.3585
-10773,-10091,-11326,-11935,25.3801
-9821,-10733,-12311,-12270,25.9295
-9361,-10413,-12380,-12364,25.9443
-10662,-10913,-11501,-11768,26.1944
-9749,-10619,-11396,-12456,26.2378
-10812,-10393,-12159,-11793,26.8636
-9892,-10515,-12366,-12487,26.8944
-10173,-10794,-12237,-12252,26.9221
-10459,-10685,-12402,-12192,26.9478
-11213,-11255,-11891,-11072,27.0614
-10839,-11136,-12263,-10803,27.815
-9912,-10643,-12432,-12180,28.4408
-10193,-10922,-12303,-11945,28.4453
-10759,-10976,-12335,-10836,29.79
-10266,-10309,-12416,-12119,31.3288
-10917,-10438,-12257,-11516,31.5562
-10560,-10328,-12535,-11652,31.7676
-11040,-10305,-11386,-11732,32.5811
-10127,-10011,-11281,-12420,33.103
-9984,-10016,-12086,-12511,33.3455
-10912,-10389,-12461,-11634,33.7415
-10266,-10579,-12531,-12083,35.0038
-10281,-10658,-12801,-11894,35.0122
-10825,-11071,-12452,-10835,35.0413
-10587,-11341,-12754,-10626,35.0659
-10623,-11464,-12267,-10881,35.4398
-9710,-11170,-12162,-11569,35.4965
-10508,-11486,-12208,-11489,35.5276
-10467,-10813,-12356,-11785,36.2508
-10912,-10659,-12576,-11598,36.2665
-9613,-10208,-11889,-12541,36.2955
-9372,-9960,-12907,-12599,36.3071
-9717,-9540,-12710,-12607,36.3118
-10511,-10790,-12352,-12266,36.3299
-11205,-10760,-11309,-11255,36.5397
-11154,-11566,-12253,-11004,36.5437
-10875,-11259,-11776,-11058,36.5685
-11184,-10716,-12066,-10811,37.4783
-10392,-11203,-12767,-11267,38.304
-11097,-10972,-12450,-10850,39.7515
-11038,-11283,-12812,-10782,40.5982
-10604,-10305,-12531,-12133,41.2866
-11262,-10018,-12060,-11524,41.5942
-10898,-10324,-12650,-11666,41.8324
-10660,-10594,-12952,-11457,41.8608
-9985,-10030,-12545,-12354,41.9235
-10552,-10200,-12581,-12059,41.9463
-10759,-10026,-11515,-11967,42.554
-11033,-10721,-11698,-11738,42.6259
-11378,-10301,-11501,-11746,42.6313
-10631,-10110,-12590,-11869,43.3768
-9988,-9082,-12490,-12772,43.4739
-10897,-10310,-12191,-11823,43.6743
-11257,-9969,-12264,-11642,43.6794
-11183,-10201,-12356,-11763,43.7929
-10159,-10729,-12426,-12284,44.8949
-10274,-10707,-12485,-11676,44.9109
-9977,-10170,-13082,-12410,44.9155
-9376,-10492,-12650,-12175,44.9371
-10659,-10395,-12217,-12035,45.3108
-10853,-11066,-12011,-11497,45.4544
-10805,-10809,-12471,-11799,46.1389
-10285,-10254,-13012,-11911,46.1437
-10630,-9834,-12815,-11919,46.1593
-9899,-10099,-12054,-12481,46.2167
-10229,-9965,-12591,-12587,46.2662
-10479,-10925,-12806,-11373,46.3998
-11197,-10790,-11119,-11302,46.5213
-11146,-11071,-11671,-11187,46.524
-11499,-11146,-12056,-11012,46.5354
-11220,-10839,-11579,-11066,46.5801
-11161,-11150,-11941,-10998,46.602
-10543,-10112,-12776,-11813,47.7665
-10507,-11181,-12826,-10659,47.7913
-9630,-9818,-12671,-12501,47.873
-11233,-11383,-11957,-10765,48.2043
-11222,-10370,-12091,-11215,48.3135
-10877,-10790,-12288,-11207,48.3527
-10447,-10360,-12662,-11759,49.1117
-11402,-11111,-12137,-9983,49.2205
-11438,-11234,-11650,-10238,49.3574
-11045,-10867,-12500,-10776,49.664
-11383,-10863,-12615,-10790,49.6861
-10848,-10229,-12886,-11091,49.7384
-10611,-9889,-12219,-12127,50.2177
-10251,-10230,-12146,-12308,50.23
-11005,-10174,-12755,-11465,50.9695
-10537,-10121,-12311,-12248,51.0629
-10593,-9292,-12665,-12583,51.0742
-10248,-9712,-12862,-12575,51.1108
-9795,-8976,-12619,-12663,51.1863
-9450,-9396,-12816,-12655,51.2162
-11203,-10463,-12337,-10799,51.3252
-11123,-10303,-12409,-10832,51.6138
-10751,-9896,-11937,-12059,51.8027
-11096,-9476,-11740,-12067,51.809
-11239,-10586,-11850,-11054,52.086
-10945,-10567,-11731,-11521,52.3299
-10329,-9596,-11889,-12519,52.4319
-10040,-9187,-12440,-12846,52.4435
-10638,-9694,-12278,-11863,52.5623
-11242,-9890,-11994,-11831,52.8676
-10953,-9481,-12545,-12158,52.8763
-10901,-9376,-12595,-12084,53.035
-11475,-10364,-12335,-10814,53.2388
-10972,-10372,-11790,-11257,53.8092
-11294,-9743,-11745,-11546,53.8357
-10158,-10343,-11924,-12325,54.107
-9639,-10174,-12967,-12396,54.1108
-9984,-9754,-12770,-12404,54.1528
-10305,-10516,-12993,-10947,54.2368
-10214,-11100,-11461,-11732,54.4658
-10226,-10661,-12447,-11810,54.5277
-10804,-10423,-11969,-11840,54.9429
-9610,-9690,-12605,-12808,55.0372
-9735,-9756,-11974,-12749,55.0485
-10428,-10246,-13055,-11909,55.2027
-10535,-10096,-13160,-11708,55.2539
-10190,-10516,-13357,-11700,55.2692
-10857,-10662,-12222,-11514,55.323
-11202,-10242,-12025,-11522,55.3378
-11204,-10374,-10807,-11296,55.3746
-10931,-10430,-12130,-11393,55.3784
-11217,-10321,-12295,-11333,55.4037
-10872,-10741,-12492,-11325,55.4156
-10563,-10352,-13180,-10994,56.1921
-10448,-10374,-13121,-11602,56.2861
-10951,-10558,-12196,-11086,56.4531
-10868,-10491,-12867,-10127,56.8022
-10741,-10379,-12781,-11292,57.3063
-10756,-10458,-13051,-11103,57.3222
-11086,-9959,-12584,-11300,57.3302
-11101,-10038,-12854,-11111,57.3422
-10322,-9480,-12770,-12454,57.5771
-10250,-9844,-11644,-12349,57.5932
-10595,-9424,-11447,-12357,57.5971
-10307,-9401,-12500,-12643,57.601
-10363,-9690,-12921,-11967,58.0098
-10378,-9769,-13191,-11778,58.028
-10708,-9270,-12724,-11975,58.0401
-10723,-9349,-12994,-11786,58.0547
-9703,-9205,-12784,-12675,58.0838
-10255,-9296,-12550,-12569,58.1416
-11179,-9474,-12763,-11167,58.5354
-10834,-9894,-12960,-11159,58.5708
-10941,-9744,-13065,-10958,58.6406
-11290,-10305,-11298,-11169,58.6972
-11515,-10284,-11057,-10335,58.7582
-11295,-9757,-12204,-11389,58.8398
-10950,-10177,-12401,-11381,58.861
-9702,-9191,-12325,-12832,58.9642
-10047,-8771,-12128,-12840,58.9828
-10349,-9285,-12829,-12190,59.0551
-10968,-9560,-12815,-11969,59.2654
-11440,-9785,-11956,-11194,59.4395
-10921,-9616,-12999,-11265,59.5558
-11193,-9539,-12574,-11135,59.6512
-10520,-9747,-12775,-11933,59.8776
-10806,-9638,-12940,-11873,59.8821
-11309,-9822,-12015,-11357,59.935
-10681,-10228,-11349,-11948,60.2278
-10271,-9487,-12663,-12171,60.6746
-11313,-11372,-10849,-9038,61.3776
-10150,-8642,-12108,-12905,61.7263
-10890,-9829,-12068,-11849,61.84
-10904,-9894,-11879,-11817,62.2789
-10849,-8862,-11806,-12171,62.5953
-11551,-9327,-11345,-10977,62.675
-10978,-10288,-12870,-10342,63.3796
-11293,-11244,-10783,-9345,63.3895
-11081,-10507,-11678,-11080,63.729
-11550,-10694,-10468,-9433,63.7673
-10882,-9859,-11878,-11896,63.986
-10960,-9065,-12233,-12152,64.3075
-11051,-9541,-13068,-11173,64.3841
-10724,-10828,-12934,-10673,64.9194
-10406,-10960,-12885,-10352,65.1938
-10507,-11621,-11367,-9818,65.2652
-11579,-10518,-11039,-9551,65.4032
-10616,-9499,-12889,-11987,65.5375
-10615,-9485,-12430,-12144,65.7794
-11340,-9950,-12517,-10846,65.8285
-10995,-10370,-12714,-10838,65.8337
-9877,-9904,-12665,-12605,65.9963
-9992,-9882,-12724,-11997,65.9992
-10078,-10748,-12889,-11158,66.0021
-9079,-9588,-12619,-12685,66.0078
-10523,-9984,-12710,-12120,66.1713
-10543,-10224,-13114,-11301,66.1835
-10898,-10128,-12942,-10375,66.6001
-11005,-9978,-13047,-10174,66.6088
-10660,-10398,-13244,-10166,66.6118
-11203,-10267,-12629,-9508,66.6146
-9969,-9405,-12385,-12629,66.6207
-10314,-8985,-12188,-12637,66.6236
-10741,-9565,-12258,-11928,66.6714
-10601,-9420,-12619,-12176,66.6813
-10608,-9004,-12307,-12170,66.6853
-9350,-9130,-12399,-12850,66.7055
-9688,-9126,-12514,-12864,66.7083
-9695,-8710,-12202,-12858,66.7112
-10740,-9551,-11799,-12085,66.8808
-10814,-9766,-12894,-11466,66.9361
-11276,-9520,-12827,-10339,66.9728
-11523,-9980,-10588,-10120,67.4311
-11379,-8489,-10683,-11428,67.7199
-10002,-9970,-12034,-12546,67.7412
-9646,-11747,-10969,-8907,67.8174
-10648,-10050,-12079,-12061,67.8365
-11041,-10417,-11229,-11523,67.8955
-9201,-11796,-10351,-8192,67.9663
-9813,-9192,-11883,-12805,68.0973
-9531,-8367,-12122,-13126,68.1036
-11284,-9412,-12066,-11415,68.1993
-10693,-8489,-11916,-12392,68.2303
-9670,-11168,-12440,-11312,68.3893
-10377,-11682,-11775,-10000,68.4886
-10726,-9486,-11988,-12117,68.5725
-9435,-9816,-12044,-12722,68.5922
-11395,-8954,-11455,-11198,68.7232
-8579,-10031,-11918,-12669,68.7407
-10017,-10961,-11345,-11925,68.7644
-10160,-10857,-12315,-11956,68.7909
-10918,-10493,-12208,-11097,68.805
-9790,-11769,-10751,-9088,68.9531
-10232,-11692,-10908,-9107,69.0872
-9655,-11089,-12170,-11501,69.1066
-10747,-9620,-12016,-11883,69.282
-10856,-10140,-12831,-10716,69.321
