obj0,obj1,obj2,obj3,obj4
-6392,-4956,-6048,-6180,-6197
-6352,-5219,-5983,-6243,-5169
-6238,-5581,-6159,-5513,-6487
-6215,-5894,-6422,-5948,-6218
-6362,-4612,-5823,-4938,-6690
-6144,-5288,-5710,-6547,-5268
-6128,-6066,-6211,-5619,-5441
-6342,-4681,-6239,-5076,-4723
-6116,-5785,-6094,-6116,-6832
-6120,-5862,-6258,-6749,-5385
-5876,-6407,-6807,-6177,-6864
-6328,-4719,-6241,-5691,-5183
-6318,-4181,-6497,-4524,-4737
-6092,-5285,-6352,-5564,-6846
-6078,-5699,-5900,-6118,-7071
-5879,-5774,-5833,-6904,-5229
-6321,-5145,-6033,-5844,-5420
-5540,-6287,-6218,-7133,-5875
-5611,-4799,-4985,-5639,-7172
-6252,-5097,-5875,-5044,-5644
-6314,-4695,-6619,-5664,-6193
-5852,-6412,-6253,-6574,-5982
-5806,-6605,-6110,-6687,-6259
-5349,-5107,-5025,-5979,-7253
-6339,-4925,-6086,-5373,-6421
-6190,-5664,-6955,-6239,-5990
-5326,-5103,-5067,-5775,-7500
-5126,-5794,-6327,-7199,-6211
-6067,-5523,-6065,-6379,-5497
-5690,-6642,-6601,-6152,-6037
-6051,-5818,-6562,-6470,-5576
-5097,-5887,-5045,-7206,-5962
-6029,-5437,-5871,-6381,-5736
-4868,-5176,-5774,-7223,-6050
-5403,-6747,-6033,-6420,-6158
-6315,-4425,-6344,-4821,-6435
-4730,-4838,-5970,-7338,-4613
-6076,-6048,-6029,-6179,-5804
-6274,-4958,-6554,-5727,-5165
-6013,-5732,-6368,-6472,-5815
-5979,-5379,-6045,-6531,-5549
-5872,-5249,-6155,-6254,-5979
-5868,-6117,-5756,-6483,-5903
-6038,-5962,-5835,-6181,-6043
-5830,-6031,-5562,-6485,-6142
-5843,-5887,-6289,-6774,-5675
-6045,-5974,-6079,-5780,-6055
-5894,-6039,-5100,-5764,-6182
-5753,-6266,-5917,-6317,-6371
-5805,-5801,-6095,-6776,-5914
-5748,-6218,-6491,-6829,-5776
-6007,-5888,-5885,-5782,-6294
-5367,-6860,-6489,-6290,-6604
-5737,-6561,-6414,-6408,-6450
-5565,-6517,-5685,-6842,-6103
-4935,-4614,-5134,-6045,-7589
-4557,-5697,-4874,-7361,-4951
-5596,-6078,-6201,-6190,-6614
-5579,-4587,-5284,-6274,-6596
-5665,-6122,-5897,-6469,-6423
-5871,-6352,-5363,-6199,-5913
-5563,-4882,-5781,-6365,-6675
-4479,-5025,-5223,-7372,-5285
-5529,-6630,-6141,-6712,-6549
-5557,-5038,-5298,-5675,-7154
-4327,-5400,-4755,-7570,-5788
-5487,-5768,-5321,-6214,-6969
-5464,-6081,-5584,-6649,-6700
-5478,-5243,-5357,-6414,-6662
-5433,-6007,-5634,-6250,-6951
-5455,-5556,-5620,-6849,-6393
-5418,-5267,-5169,-6376,-6763
-5346,-5285,-5108,-5996,-7133
-5439,-5851,-6117,-6940,-6472
-5533,-4538,-5556,-5123,-7168
-5857,-6225,-5847,-6305,-5787
-5323,-5598,-5371,-6431,-6864
-5388,-6147,-5928,-6494,-6713
-5303,-5416,-5330,-6210,-7231
-5735,-5924,-6594,-5959,-7028
-6069,-5598,-6615,-5999,-6577
-4911,-4114,-5392,-5493,-7603
-5278,-5186,-5863,-6501,-7003
-5287,-5711,-5827,-6301,-7310
-5292,-5524,-5421,-6032,-7115
-6000,-5438,-6471,-5602,-7067
-5115,-6137,-6250,-6778,-6885
-5298,-5368,-5904,-6722,-6636
-5558,-5057,-7039,-4431,-5060
-4683,-5394,-5154,-7272,-6298
-4665,-5287,-5663,-6671,-7745
-5764,-5923,-5994,-6738,-5697
-5086,-6230,-4968,-6785,-6636
-4787,-5588,-4916,-7017,-6504
-5239,-6979,-6404,-6505,-5628
-5079,-5780,-5554,-6605,-7409
-4672,-5737,-5077,-6851,-6972
-5077,-5705,-5004,-6985,-6329
-5272,-5342,-5380,-5811,-7482
-5063,-6306,-5709,-6132,-7105
-6038,-5524,-6665,-5600,-6828
-5239,-5168,-5914,-6203,-7088
-4663,-5212,-5113,-7051,-6665
-5225,-5155,-5901,-5694,-7227
-6049,-5181,-6742,-6021,-6154
-4773,-6173,-5178,-7044,-6375
-4764,-4889,-6134,-5230,-7184
-4811,-5583,-5470,-6620,-7386
