obj0,obj1,obj2,obj3,obj4,cpu
-6686,-7716,-7297,-6574,-8361,0
-6869,-7542,-6731,-6247,-7932,0
-6656,-7764,-6986,-6517,-8561,0
-6331,-7992,-6767,-6956,-8514,0
-6561,-7854,-6771,-6800,-8187,0
-6366,-7730,-7178,-6542,-8500,0
-6753,-7411,-6734,-6022,-8261,0
-6445,-7723,-6774,-6575,-8516,0
-6415,-7771,-6463,-6518,-8716,0
-6336,-7778,-6867,-6485,-8700,0
-6855,-7380,-6446,-7103,-8199,0
-7085,-7242,-6450,-6947,-7872,0
-6850,-7108,-7095,-6531,-8030,0
-6535,-7394,-6327,-7071,-8338,0
-6929,-7101,-6691,-6564,-8046,0
-6939,-7159,-6142,-6665,-8401,0
-6860,-7166,-6546,-6632,-8385,0
-6619,-7173,-6023,-6633,-8540,0
-6178,-7699,-6378,-6650,-8771,0
-7033,-6934,-6529,-6204,-7601,0
-6213,-7437,-6789,-6236,-8757,0
-5972,-7444,-6266,-6237,-8912,0
-7133,-6503,-6251,-6679,-7870,0
-6292,-7430,-6385,-6269,-8773,0
-6262,-7478,-6074,-6212,-8973,0
-6183,-7485,-6478,-6179,-8957,0
-6252,-7508,-6355,-6662,-8535,0
-6734,-7149,-6559,-6566,-7840,0
-7202,-6598,-5678,-6733,-7439,0
-7112,-6927,-6125,-6237,-7617,0
-7316,-6329,-5685,-6352,-7441,0
-6336,-7287,-6051,-6224,-8737,0
-6257,-7294,-6455,-6191,-8721,0
-6694,-7139,-6797,-6408,-7685,0
-6890,-7118,-6857,-6689,-8185,0
-7281,-6591,-5274,-6766,-7455,0
-7152,-6937,-5887,-6395,-7772,0
-6649,-7125,-6334,-6690,-8340,0
-6969,-7111,-6453,-6722,-8201,0
-6496,-6832,-5945,-6384,-8597,0
-6370,-7089,-5514,-7340,-7694,0
-6600,-6951,-5518,-7184,-7367,0
-5733,-7418,-5208,-7045,-8421,0
-5413,-6941,-4273,-6752,-8597,0
-5334,-6948,-4677,-6719,-8581,0
-6475,-6021,-5332,-7231,-7158,0
-6239,-6884,-7475,-5427,-7679,0
-5961,-6691,-5104,-7185,-7828,0
-5215,-6915,-5609,-6678,-8831,0
-6241,-7435,-6127,-6969,-8011,0
-5892,-6596,-5677,-7131,-8259,0
-5289,-6724,-5586,-6690,-8595,0
-5813,-6603,-6081,-7098,-8243,0
-5136,-6922,-6013,-6645,-8815,0
-5739,-6303,-5288,-6825,-8516,0
-6133,-6589,-6200,-7130,-8104,0
-5456,-6908,-6132,-6677,-8676,0
-5609,-7201,-6521,-6983,-8419,0
-5443,-6100,-7320,-5435,-7234,0
-5599,-6069,-7618,-5558,-7579,0
-5569,-6117,-7307,-5501,-7779,0
