obj0,obj1,obj2,obj3,obj4,cpu
-7300,-7921,-6940,-6970,-8859,0.90872
-6980,-7935,-6821,-6938,-8998,1.38653
-7231,-7826,-7513,-6916,-9290,1.68713
-5916,-7649,-5856,-6945,-9531,1.95436
-7414,-7652,-6947,-6589,-8861,2.11587
-7152,-7833,-7917,-6883,-9274,2.66881
-7335,-7659,-7351,-6556,-8845,3.39311
-6911,-7840,-7394,-6884,-9429,4.01473
-6862,-7666,-6578,-7378,-8456,4.66683
-7348,-7182,-6741,-6702,-8857,5.17707
-7578,-7044,-6745,-6546,-8530,5.18868
-6686,-7976,-6621,-6836,-8671,5.33232
-6876,-8007,-7338,-6569,-8670,5.75946
-6635,-8014,-6815,-6570,-8825,5.80819
-6556,-8021,-7219,-6537,-8809,5.87594
-6987,-7528,-7104,-7152,-8630,6.00693
-6632,-7804,-6574,-7534,-8783,6.07077
-6711,-7511,-6435,-6407,-9584,6.57049
-6570,-7845,-6624,-6611,-9000,6.67237
-6716,-7928,-6932,-6893,-8471,7.00655
-6503,-8150,-7187,-7163,-9100,7.35957
-5995,-8133,-6268,-7239,-9510,7.41467
-6746,-7535,-6581,-7153,-8785,7.53231
-6667,-7542,-6985,-7120,-8769,7.675
-6378,-7220,-7001,-7210,-8891,8.08022
-6137,-7227,-6478,-7211,-9046,8.13254
-6058,-7234,-6882,-7178,-9030,8.20347
-6069,-7942,-6245,-7251,-9274,8.33154
-6030,-7380,-5863,-6564,-9533,8.41371
-5951,-7387,-6267,-6531,-9517,8.48397
-6225,-7995,-6272,-7083,-9183,8.84779
-6350,-7857,-6798,-6857,-9357,8.86691
-6109,-7864,-6275,-6858,-9512,8.92367
-5710,-7394,-5744,-6532,-9672,8.95798
-6030,-7871,-6679,-6825,-9496,8.98358
-6107,-7275,-6167,-7154,-9246,9.05539
-6028,-7282,-6571,-7121,-9230,9.05979
-6542,-6612,-6799,-7167,-8560,9.11783
-6240,-7230,-7099,-7231,-8909,9.23764
-5999,-7237,-6576,-7232,-9064,9.24094
-5920,-7244,-6980,-7199,-9048,9.242
-7192,-7883,-7349,-7048,-8677,9.26227
