obj0,obj1,obj2,obj3,obj4,cpu
-7972,-5993,-6091,-7555,-8389,5.94507
-8806,-5595,-6836,-7598,-8054,9.15447
-7149,-6230,-5670,-6653,-8521,9.30168
-6495,-6363,-5077,-6850,-7347,10.6951
-8007,-5678,-6803,-6776,-7846,11.2633
-6599,-5973,-6110,-5770,-7787,11.4266
-7951,-5671,-6065,-7059,-8649,13.9176
-7220,-6188,-5408,-6723,-8826,14.0884
-8084,-5740,-6760,-7723,-8156,19.8868
-8054,-5790,-6153,-6766,-8491,20.127
-8161,-4883,-6115,-8185,-5915,20.7303
-6147,-5879,-6670,-5667,-6045,25.6205
-8340,-5227,-6496,-7225,-8065,27.5386
-8744,-5093,-6628,-7620,-6421,27.6138
-8539,-4825,-5902,-7783,-7199,27.6825
-9005,-5193,-6242,-8156,-7188,27.7023
-7332,-5935,-6077,-6891,-8593,27.822
-8253,-5641,-6293,-7528,-7827,28.1043
-7306,-5212,-6078,-7850,-6712,28.5243
-8140,-4814,-6823,-7893,-6377,28.6919
-8476,-5717,-6024,-6326,-7634,29.3109
-8015,-5962,-5562,-6987,-8503,29.713
-7953,-5877,-6103,-7033,-7544,30.008
-8150,-5522,-6205,-7821,-7985,35.2541
-6431,-6072,-5580,-6922,-7493,35.7509
-7235,-5254,-6340,-7780,-6407,36.4367
-8529,-4117,-6520,-7855,-5591,36.453
-8330,-4519,-7114,-7297,-6457,36.5462
-7201,-6072,-5420,-6201,-7981,37.0747
-7018,-6367,-5013,-5963,-7909,37.11
-6359,-6022,-5901,-6127,-7187,39.9246
-6384,-5960,-6230,-6932,-6848,40.7744
-7730,-4453,-7221,-7237,-5585,41.1902
-7945,-5429,-7329,-7002,-6415,41.4118
-7767,-5197,-4570,-7941,-7231,43.1871
-8423,-5270,-5201,-7718,-7300,43.2389
-7398,-5717,-5522,-6989,-8422,43.3399
-8090,-4925,-6377,-8115,-5610,43.828
-8874,-4681,-7061,-7086,-6287,44.1276
-8070,-4671,-6893,-7205,-6726,44.2122
-7130,-6114,-5682,-6131,-7676,44.57
-6296,-6512,-4937,-6088,-8011,44.7678
-6362,-6294,-4382,-6186,-7840,44.8984
-7433,-6039,-4521,-6549,-8615,45.0227
-7048,-6317,-5620,-6920,-7574,45.3311
-8865,-5273,-6455,-6492,-7050,45.8603
-7217,-6218,-5153,-6725,-7245,45.8865
-7083,-6002,-6332,-6141,-7031,46.5155
-6971,-6255,-5663,-5973,-7264,46.6809
-6249,-6400,-5587,-6098,-7366,47.28
-5831,-6006,-5687,-6862,-6621,47.7854
-6487,-6079,-6318,-6639,-6690,47.8101
-7218,-5562,-6975,-6975,-6513,48.179
-7479,-5061,-6989,-6629,-6426,48.3897
-7353,-5811,-6210,-6973,-6672,48.531
-9000,-4580,-6364,-7122,-6330,49.3087
-7696,-5239,-4832,-7871,-6926,49.3221
-7071,-5796,-5337,-6466,-8957,49.413
