obj0,obj1,obj2,obj3,obj4,cpu
-7972,-5993,-6091,-7555,-8389,5.97707
-8806,-5595,-6836,-7598,-8054,9.15352
-7149,-6230,-5670,-6653,-8521,9.2917
-6495,-6363,-5077,-6850,-7347,10.55
-8007,-5678,-6803,-6776,-7846,11.0964
-6599,-5973,-6110,-5770,-7787,11.2518
-7951,-5671,-6065,-7059,-8649,13.5876
-7220,-6188,-5408,-6723,-8826,13.7277
-8084,-5740,-6760,-7723,-8156,19.3373
-8054,-5790,-6153,-6766,-8491,19.558
-8161,-4883,-6115,-8185,-5915,20.0948
-6147,-5879,-6670,-5667,-6045,24.6598
-8340,-5227,-6496,-7225,-8065,26.4327
-8744,-5093,-6628,-7620,-6421,26.4927
-8539,-4825,-5902,-7783,-7199,26.5487
-9005,-5193,-6242,-8156,-7188,26.5622
-7332,-5935,-6077,-6891,-8593,26.6796
-8253,-5641,-6293,-7528,-7827,26.9508
-7306,-5212,-6078,-7850,-6712,27.3325
-8140,-4814,-6823,-7893,-6377,27.4903
-8476,-5717,-6024,-6326,-7634,28.0518
-8015,-5962,-5562,-6987,-8503,28.4208
-7953,-5877,-6103,-7033,-7544,28.7091
-8150,-5522,-6205,-7821,-7985,33.7225
-6431,-6072,-5580,-6922,-7493,34.1758
-7235,-5254,-6340,-7780,-6407,34.7677
-8529,-4117,-6520,-7855,-5591,34.7781
-8330,-4519,-7114,-7297,-6457,34.8569
-7201,-6072,-5420,-6201,-7981,35.3368
-7018,-6367,-5013,-5963,-7909,35.3755
-6359,-6022,-5901,-6127,-7187,37.9314
-6384,-5960,-6230,-6932,-6848,38.71
-7730,-4453,-7221,-7237,-5585,39.0816
-7945,-5429,-7329,-7002,-6415,39.2667
-7767,-5197,-4570,-7941,-7231,40.7457
-8423,-5270,-5201,-7718,-7300,40.7913
-7398,-5717,-5522,-6989,-8422,40.8853
-8090,-4925,-6377,-8115,-5610,41.3041
-8874,-4681,-7061,-7086,-6287,41.5597
-8070,-4671,-6893,-7205,-6726,41.6404
-7130,-6114,-5682,-6131,-7676,41.9511
-6296,-6512,-4937,-6088,-8011,42.1487
-6362,-6294,-4382,-6186,-7840,42.2592
-7433,-6039,-4521,-6549,-8615,42.3959
-7048,-6317,-5620,-6920,-7574,42.6665
-8865,-5273,-6455,-6492,-7050,43.1666
-7217,-6218,-5153,-6725,-7245,43.1962
