obj0,obj1,obj2,obj3,obj4,cpu
-8734,-6801,-7566,-7624,-7516,1.32047
-8033,-6884,-6123,-8093,-8026,1.4843
-9022,-6855,-6783,-8190,-7185,2.09695
-8593,-6396,-6527,-8187,-7932,2.13147
-9019,-6810,-6461,-8531,-7295,2.22709
-8946,-6717,-6879,-7950,-7879,2.49864
-8879,-6756,-6161,-7883,-7833,3.07733
-8929,-6697,-6590,-8369,-6875,3.08298
-8697,-7256,-6956,-7294,-7075,3.08979
-8849,-6340,-6053,-8146,-8228,3.14181
-8500,-6238,-6334,-8366,-7622,3.20867
-8926,-6652,-6268,-8710,-6985,3.31724
-8837,-7310,-7256,-7942,-6537,3.32393
-8408,-6851,-7000,-7939,-7284,3.36562
-8694,-7211,-6634,-7635,-7185,3.49195
-8853,-6559,-6686,-8129,-7569,3.76423
-8764,-7217,-7674,-7361,-7121,3.77093
-8335,-6758,-7418,-7358,-7868,3.81495
-8621,-7118,-7052,-7054,-7769,3.926
-8761,-7172,-7352,-7702,-7231,4.19835
-7851,-7384,-6918,-7504,-7268,4.69714
-9278,-6799,-6309,-8149,-7481,4.70386
-8268,-6797,-6700,-7291,-7822,4.76788
-7422,-6925,-6662,-7501,-8015,4.90553
-8345,-7109,-6915,-7855,-6579,4.98681
-7991,-7438,-7218,-8152,-6730,4.99599
-8924,-7248,-6818,-7901,-6635,5.00265
-7562,-6979,-6962,-8149,-7477,5.07013
-8807,-6894,-7148,-8205,-6932,5.07875
-8495,-6789,-6562,-7898,-7382,5.14492
-7848,-7339,-6596,-7845,-7378,5.20515
-8664,-6795,-6526,-7898,-7580,5.21319
-8599,-7649,-6991,-7005,-6525,5.27858
-9275,-6754,-5987,-8490,-7591,5.38153
-8671,-7059,-7481,-7540,-6811,5.5272
-7081,-7117,-7527,-7553,-7188,5.53575
-8851,-7155,-7236,-7320,-7219,5.5367
-7489,-6886,-7380,-7568,-8061,5.59476
-8240,-7196,-7775,-6728,-7208,5.60158
-8422,-6696,-6980,-7317,-7966,5.64998
-7775,-7246,-7014,-7264,-7962,5.73379
-8097,-7097,-7153,-6421,-7856,5.74075
-8526,-7556,-7409,-6424,-7109,5.80501
-9202,-6661,-6405,-7909,-8175,5.90173
-8668,-7014,-7159,-7881,-6921,6.034
-8731,-6756,-7244,-7965,-7626,6.04339
-8666,-7610,-7709,-7072,-6571,6.10839
-8848,-7110,-6914,-7661,-7329,6.22239
-8523,-7511,-7087,-6765,-7219,6.34681
-8784,-7194,-6518,-7253,-7173,6.65123
-8744,-7152,-7063,-8121,-6227,6.8545
-8315,-6693,-6807,-8118,-6974,6.94482
-8313,-7289,-7357,-7309,-6624,6.95119
-8601,-7053,-6441,-7814,-6875,7.04856
-9093,-7254,-6782,-7901,-6833,7.09257
-8506,-7491,-6798,-7184,-6215,7.11272
-8781,-7149,-6196,-7594,-7283,7.15334
-8591,-6702,-6944,-7317,-8164,7.54334
-9020,-7161,-7200,-7320,-7417,7.61586
-8433,-7398,-7216,-6603,-6799,7.63586
-8708,-7056,-6614,-7013,-7867,7.71904
-8174,-7409,-7368,-6985,-6613,7.85167
-8237,-7151,-7453,-7069,-7318,7.86432
-9017,-7116,-6878,-7661,-7527,8.13032
-8430,-7353,-6894,-6944,-6909,8.15047
-8482,-6928,-7012,-7966,-7267,8.27273
-8292,-7440,-7047,-6774,-7496,8.35466
-8125,-6838,-6533,-7583,-7648,8.40317
-8479,-6883,-6690,-8307,-7377,8.44111
-8250,-7547,-7272,-7225,-5919,8.45279
-8459,-6391,-6016,-8785,-6867,8.49425
-8030,-5932,-5760,-8782,-7614,8.58579
-8289,-7395,-6725,-7115,-7606,8.6323
-8406,-6790,-7108,-7726,-7961,8.81737
-8296,-7659,-7680,-6757,-6837,8.82858
-8386,-6298,-6434,-8204,-7451,8.83686
-7957,-5839,-6178,-8201,-8198,8.95745
-8293,-7614,-7358,-7098,-6947,9.27873
-8383,-6253,-6112,-8545,-7561,9.42317
-8339,-6829,-6390,-7659,-7915,9.60388
-8554,-7297,-6789,-7586,-6901,9.61225
-8157,-7329,-7185,-7070,-7157,9.62579
-7443,-6109,-5882,-7731,-8544,9.65991
-8053,-6469,-6756,-7963,-8014,9.75064
-8551,-7252,-6467,-7927,-7011,9.79782
-8297,-7383,-7485,-7718,-6619,9.81154
-7868,-6924,-7229,-7715,-7366,9.85632
-8152,-6166,-6244,-8776,-7564,9.90988
-8154,-7284,-6863,-7411,-7267,9.94665
-7941,-6892,-5593,-7695,-7541,10.0571
-8478,-7159,-6885,-7346,-7595,10.1326
-8224,-7290,-7903,-7137,-7203,10.1462
-7795,-6831,-7647,-7134,-7950,10.1908
-8263,-5784,-6445,-7767,-8087,10.2605
-7510,-6070,-6600,-7798,-8590,10.2669
-8081,-7191,-7281,-6830,-7851,10.3058
-7185,-6471,-6773,-6902,-8480,10.3127
-7796,-6430,-6234,-7494,-8491,10.5465
-8221,-7245,-7581,-7478,-7313,10.6315
-8323,-6987,-7391,-7950,-6753,10.7357
-7826,-7353,-7106,-7173,-6829,10.7421
-7936,-6484,-6534,-8142,-7953,10.7968
